sent + recording 127.0.0.1:30002 -> results/T09_slow_r1.baseline.csv  (Ctrl-C to stop)

  1456 samples    21.2s
  1474 samples    21.4s
  1492 samples    21.7s
  1510 samples    21.9s
  1528 samples    22.2s
  1545 samples    22.5s
  1562 samples    22.7s
  1579 samples    23.0s
  1596 samples    23.2s
  1613 samples    23.5s
  1630 samples    23.8s
  1647 samples    24.0s
  1664 samples    24.3s
  1681 samples    24.5s
  1698 samples    24.8s
  1715 samples    25.1s
  1732 samples    25.3s
  1749 samples    25.6s
  1766 samples    25.8s
  1784 samples    26.1s
  1802 samples    26.4s
  1820 samples    26.6s
  1838 samples    26.9s
  1856 samples    27.1s
  1874 samples    27.4s
  1892 samples    27.7s
  1910 samples    27.9s
  1928 samples    28.2s
  1946 samples    28.4s
  1964 samples    28.7s
  1982 samples    29.0s
  1999 samples    29.2s
  2017 samples    29.5s
  2035 samples    29.7s
  2053 samples    30.0s
  2071 samples    30.2s
  2089 samples    30.5s
  2107 samples    30.8s
  2125 samples    31.0s
  2143 samples    31.3s
  2161 samples    31.5s
  2179 samples    31.8s
  2197 samples    32.1s
  2215 samples    32.4s
  2239 samples    32.7s
  2256 samples    32.9s
  2273 samples    33.2s
  2290 samples    33.4s
  2307 samples    33.7s
  2325 samples    34.0s
  2343 samples    34.2s
  2361 samples    34.5s
  2379 samples    34.7s
  2397 samples    35.0s
  2415 samples    35.3s
  2433 samples    35.5s
  2451 samples    35.8s
  2469 samples    36.0ssent + recording 192.168.1.100:30002 -> results/T09_fast_r1.ppo.csv  (Ctrl-C to stop)

  19 samples     0.3s
  37 samples     0.5s
  54 samples     0.8s
  71 samples     1.0s
  88 samples     1.3s
  105 samples     1.6s
  122 samples     1.8s
  139 samples     2.1s
  156 samples     2.3s
  174 samples     2.6s
  192 samples     2.9s
  210 samples     3.1s
  228 samples     3.4s
  246 samples     3.6s
  264 samples     3.9s
  282 samples     4.2s
  300 samples     4.4s
  318 samples     4.7s
  336 samples     4.9s
  354 samples     5.2s
  372 samples     5.4s
  390 samples     5.7s
  408 samples     6.0s
  426 samples     6.2s
  444 samples     6.5s
  462 samples     6.7s
  480 samples     7.0s
  498 samples     7.3s
  516 samples     7.5s
  534 samples     7.8s
  552 samples     8.0s
  570 samples     8.3s
  587 samples     8.6s
  604 samples     8.8s
  621 samples     9.1s
  638 samples     9.3s
  655 samples     9.6s
  672 samples     9.9s
  683 samples    10.1s
  707 samples    10.4s
  725 samples    10.7s
  743 samples    10.9s
  761 samples    11.2s
  779 samples    11.4s
  797 samples    11.7s
  815 samples    12.0s
  833 samples    12.2s
  851 samples    12.5s
  869 samples    12.7s
  887 samples    13.0s
  905 samples    13.3s
  923 samples    13.5s
  941 samples    13.8s
  959 samples    14.0s
  976 samples    14.3s
  993 samples    14.6s
  1010 samples    14.8s
  1027 samples    15.1s
  1044 samples    15.3s
  1061 samples    15.6s
  1078 samples    15.9s
  1095 samples    16.1s
  1112 samples    16.4s
  1129 samples    16.7s
  1146 samples    16.9s
  1163 samples    17.2s
  1180 samples    17.4s
  1197 samples    17.7s
  1214 samples    18.0s
  1231 samples    18.2s
  1249 samples    18.5s
  1267 samples    18.7s
